ID,ANO,OP,PARTIDO,ENVOLVIDOS,JUIZ,ORGAO
1,2003,Operação Águia (Polícia Federal)(13 de junho),PT,,Marcelo Bretas,
2,2003,Operação Sucuri (7 de dezembro),PT,,Marcelo Bretas,
3,2003,Operação Nicotina II (3 de setembro),PT,,Marcelo Bretas,
4,2003,Operação Planador (6 de agosto),PT,,Marcelo Bretas,
5,2003,Operação Trânsito Livre (9 de dezembro),PT,,Marcelo Bretas,
6,2003,Operação Praga do Egito ou Gafanhoto (26 de novembro),PT,,Marcelo Bretas,
7,2003,Operação Cavalo de Troia (5 de novembro),PT,,Marcelo Bretas,
8,2003,Operação Anaconda (30 de outubro),PT,,Marcelo Bretas,
9,2003,Operação Concha Branca (15 de setembro),PT,,Marcelo Bretas,
10,2003,Operação Setembro Negro (18 de setembro),PT,,Marcelo Bretas,
11,2003,Operação Drake (2 de setembro),PT,,Marcelo Bretas,
12,2003,Operação Garça (28 de agosto),PT,,Marcelo Bretas,
13,2003,Operação Tempestade no Oeste(29 de outubro),PT,,Marcelo Bretas,
14,2003,Operação Medusa (30 de outubro),PT,,Marcelo Bretas,
15,2003,Operação Paz no Campo (14 de outubro),PT,,Marcelo Bretas,
16,2003,Operação Lince (13 de novembro),PT,,Marcelo Bretas,
17,2004,Operação Feliz (22 de janeiro),PT,,Marcelo Bretas,
18,2004,Operação ANIVERSARIO (3 de fevereiro),PT,,Marcelo Bretas,
19,2004,Operação Fraude Zero (10 de fevereiro),PT,,Marcelo Bretas,
20,2004,Operação Soro (5 de março),PT,,Marcelo Bretas,
21,2004,Operação Pandora (19 de março),PT,,Marcelo Bretas,
22,2004,Operação Matusalém (15 de abril),PT,,Marcelo Bretas,
23,2004,Operação Mamoré (20 de abril),PT,,Marcelo Bretas,
24,2004,Operação Barrilha (26 de abril),PT,,Marcelo Bretas,
25,2004,Operação Pindorama (13 de maio),PT,,Marcelo Bretas,
26,2004,[[Operação Gord'ao seduction ] (29 de maio),PT,,Marcelo Bretas,
27,2004,Operação Shogun (1 de junho),PT,,Marcelo Bretas,
28,2004,Operação Rosa dos Ventos (5 de junho),PT,,Marcelo Bretas,
29,2004,Operação Tamar (19 de junho),PT,,Marcelo Bretas,
30,2004,Operação Lince II (23 de junho),PT,,Marcelo Bretas,
31,2004,Operação Pensacola (23 de junho),PT,,Marcelo Bretas,
32,2004,Operação Caso Unaí (27 de julho),PT,,Marcelo Bretas,
33,2004,Operação Orcrim Esa (5 de agosto),PT,,Marcelo Bretas,
34,2004,Operação Zumbi (6 de agosto),PT,,Marcelo Bretas,
35,2004,Operação Albatroz (10 de agosto),PT,,Marcelo Bretas,
36,2004,Operação Farol da Colina (17 de agosto),PT,,Marcelo Bretas,
37,2004,Operação Cavalo de Troia II (20 de outubro),PT,,Marcelo Bretas,
38,2004,Operação Pardal (25 de outubro),PT,,Marcelo Bretas,
39,2004,Operação Mucuripe (25 de outubro),PT,,Marcelo Bretas,
40,2004,Operação Chacal (13 de dezembro),PT,,Marcelo Bretas,
41,2004,Operação Pororoca (4 de novembro),PT,,Marcelo Bretas,
42,2004,Operação Capela (5 de novembro),PT,,Marcelo Bretas,
43,2004,Operação Poeira no Asfalto (8 de novembro),PT,,Marcelo Bretas,
44,2004,Operação Cataratas (8 de novembro),PT,,Marcelo Bretas,
45,2004,Operação Midas (10 de novembro),PT,,Marcelo Bretas,
46,2004,Operação Catuaba (12 de novembro),PT,,Marcelo Bretas,
47,2004,Operação Faraó (18 de novembro),PT,,Marcelo Bretas,
48,2004,Operação Águia II,PT,,Marcelo Bretas,
49,2004,Operação São José dos Campos(24 de novembro),PT,,Marcelo Bretas,
50,2004,Operação Mascates (29 de novembro),PT,,Marcelo Bretas,
51,2004,Operação Perseu (1 de dezembro),PT,,Marcelo Bretas,
52,2004,Operação Sentinela (2 de dezembro),PT,,Marcelo Bretas,
53,2004,Operação Castelo (3 de dezembro),PT,,Marcelo Bretas,
54,2004,Operação Faroeste (7 de dezembro),PT,,Marcelo Bretas,
55,2004,Operação Mar Azul (7 de dezembro),PT,,Marcelo Bretas,
56,2004,Operação Cavalo de Aço (7 de dezembro),PT,,Marcelo Bretas,
57,2004,Operação Saia Justa (13 de dezembro),PT,,Marcelo Bretas,
58,2004,Operação Fênix (15 de dezembro),PT,,Marcelo Bretas,
59,2005,Operação Alcatéia (14 de janeiro),PT,,Marcelo Bretas,
60,2005,Operação AshCatium (27 de janeiro),PT,,Marcelo Bretas,
61,2005,Operação Predador (28 de janeiro),PT,,Marcelo Bretas,
62,2005,Operação Petisco (2 de fevereiro),PT,,Marcelo Bretas,
63,2005,Operação Pretorium (10 de fevereiro),PT,,Marcelo Bretas,
64,2005,Operação Big Brother (15 de fevereiro),PT,,Marcelo Bretas,
65,2005,Operação Clone (16 de fevereiro),PT,,Marcelo Bretas,
66,2005,Operação Terra Nostra (17 de fevereiro),PT,,Marcelo Bretas,
67,2005,Operação Caronte (18 de fevereiro),PT,,Marcelo Bretas,
68,2005,Operação Negro Cueca (20 de fevereiro),PT,,Marcelo Bretas,
69,2005,Operação Ajuste Fiscal (24 de fevereiro),PT,,Marcelo Bretas,
70,2005,Operação Dragão (18 de março),PT,,Marcelo Bretas,
71,2005,Operação Buritis (31 de março),PT,,Marcelo Bretas,
72,2005,Operação Março Branco (5 de abril),PT,,Marcelo Bretas,
73,2005,Operação Tango (11 de abril),PT,,Marcelo Bretas,
74,2005,Operação Castanhola (14 de abril),PT,,Marcelo Bretas,
75,2005,Operação Hidra (4 de maio),PT,,Marcelo Bretas,
76,2005,Operação Gabiru (17 de maio),PT,,Marcelo Bretas,
77,2005,Operação Spectro (31 de maio),PT,,Marcelo Bretas,
78,2005,Operação Curupira (2 de junho),PT,,Marcelo Bretas,
79,2005,Operação Anjo da Guarda (7 de junho),PT,,Marcelo Bretas,
80,2005,Operação Panorama (8 de junho),PT,,Marcelo Bretas,
81,2005,Operação Cevada (junho),PT,,Marcelo Bretas,
82,2005,Operação Tentáculos (16 de junho),PT,,Marcelo Bretas,
83,2005,Operação Tâmara (17 de junho),PT,,Marcelo Bretas,
84,2005,Operação Mercúrio (27 de junho),PT,,Marcelo Bretas,
85,2005,Operação Monte Éden (30 de junho),PT,,Marcelo Bretas,
86,2005,Operação Narciso (14 de julho),PT,,Marcelo Bretas,
87,2005,Operação Confraria (21 de julho),PT,,Marcelo Bretas,
88,2005,Operação Lion Tech (3 de agosto),PT,,Marcelo Bretas,
89,2005,Operação Falsário (4 de agosto),PT,,Marcelo Bretas,
90,2005,Operação Macunaíma (5 de agosto),PT,,Marcelo Bretas,
